Model,Total Return,Annualized Vol,Sharpe,Max Drawdown
Buy & Hold,0.9937695428817157,0.27313592061193714,1.0107895474717248,-0.21893222584527994
M0_Mean,0.34090950593388336,0.20168662116380343,0.603627786071158,-0.3265554660381963
M1_Static,0.21713272154829322,0.1937592351439559,0.44758325258120946,-0.2848357920405473
M2_Dynamic,0.22549111802673116,0.19300641614510272,0.4608331804822326,-0.21507853528856202
M3_Fund,0.1236371662521345,0.20559699454002792,0.2991135349863666,-0.2962308986196639
M4_Macro,0.09871891361942176,0.20501465940339378,0.26151472105747087,-0.2745189722625766
M5b_ML,0.08690312937186162,0.16816942616244607,0.25576090492937553,-0.30596009113278155
M6_Full,0.08045038387626646,0.19438773845521945,0.23530541083375917,-0.3305146275910005
