quarter_end,earnings_yield,ev_ebitda,pb_ratio,dividend_yield,roic,roe,ebitda_margin,evs,beta,volatility,debt_to_equity,current_ratio
2009-12-31,0.06966966130094158,8.12652,2.86772,,,0.19979295014265896,,,,,0.6138691527733052,1.3482773000297832
2010-03-31,0.016889232978862113,31.39955,,,,,,,,,,
2010-06-30,0.0015409530936652004,82.27843,,,,,,,,,,
2010-09-30,0.0022330523773823685,123.02527,,,,,,,,,,
2010-12-31,0.07519933463628714,9.22206,1.14751,,,0.08629189361340686,,,,,0.38009818089099046,1.8771139625589484
2011-03-31,0.03009996499374071,22.71767,1.16879,,,0.03518054845729376,,,,,0.4054151274761218,1.9811145588196557
2011-06-30,0.0007010961231249307,88.69783,0.94813,,,0.0006647336681898813,,,,,0.39314014747624376,1.9646698229152195
2011-09-30,-0.024634030681685213,62.49065,0.75227,,,-0.01853154859288965,,,,,0.44337411227394585,1.7795185195107495
2011-12-31,0.09929875221187971,7.35333,0.84379,,,0.08378722968007232,,,,,0.46822287414123615,1.7762723527390223
2012-03-31,0.030952038269100115,18.28681,0.89896,,,0.027824841029910112,,,,,0.484432272678796,1.916130653073563
2012-06-30,-0.047459718563868915,-137.26742,0.70248,,,-0.033339437003175106,,,,,0.5287136482464218,1.8489383444716216
2012-09-30,0.02572284407197766,30.0464,0.84668,,,0.02177893609584897,,,,,0.5412949803582131,1.958142210179398
2012-12-31,0.06018186960996131,8.90049,0.73713,,,0.044361563695127296,,,,,0.5683098542804688,1.696363444701404
2013-03-31,0.032732967073253766,14.60592,0.70889,,,0.023204109202003498,,,,,0.5832229351994654,1.7057472321390161
2013-06-30,-0.010216316192534243,24.90729,0.62072,,,-0.006341591132440437,,,,,0.7324172770688395,2.122968861504993
2013-09-30,-0.008921568793637067,114.69689,0.69803,,,-0.0062277393760827296,,,,,0.731169617989057,1.961725072694589
2013-12-31,0.08736417055582833,6.21072,0.63779,,,0.0557195738387484,,,,,0.7666620977781232,1.4947116633719493
2014-03-31,0.028107731312574838,13.82904,0.57858,,,0.016262601468464786,,,,,0.8661413437944543,1.906532217953949
2014-06-30,-0.002668594530518034,25.45294,0.61519,,,-0.001641839664310954,,,,,0.8494699646643109,1.917056447326459
