fold,accuracy,precision,recall,auc
0,0.48333333333333334,0.4972375690607735,0.7317073170731707,0.5012855256757696
1,0.44583333333333336,0.46017699115044247,0.41935483870967744,0.4246384872080089
2,0.48333333333333334,0.5535714285714286,0.45588235294117646,0.4912330316742081
3,0.5416666666666666,0.5338345864661654,0.5966386554621849,0.580943121050073
4,0.5625,0.5425531914893617,0.45132743362831856,0.5665807260818061
