date,return,prob_high_vol,prob_low_vol
2019-07-31,-0.6118824795361831,0.010732672086880661,0.98926732791312
2019-08-01,0.6502491195522265,0.006412636619115345,0.9935873633808853
2019-08-02,1.022518597816054,0.010841038558542421,0.9891589614414583
2019-08-05,-3.7253495973316495,0.037511772650691326,0.9624882273493094
2019-08-06,1.2827613106317461,0.012123665391759762,0.987876334608241
2019-08-07,-1.0872604812948348,0.008471707219324328,0.9915282927806763
2019-08-08,2.8875537452897007,0.01194375364839369,0.9880562463516069
2019-08-09,-0.26653311815039815,0.0077579549058137895,0.9922420450941869
2019-08-12,-2.4259012579086887,0.01538656823609156,0.9846134317639089
2019-08-13,1.3272299874531555,0.0162980558404894,0.9837019441595112
2019-08-14,-3.4325421056543846,0.04531003907362376,0.9546899609263766
2019-08-15,-2.808161251754677,0.03613705185180518,0.9638629481481951
2019-08-16,-1.3282574658016053,0.01749399615747085,0.9825060038425294
2019-08-19,0.5001663272088906,0.018255736414687838,0.9817442635853125
2019-08-20,-0.041585110262089504,0.05975254821110226,0.9402474517888982
2019-08-21,5.783149618810709,0.29689702591425027,0.7031029740857502
2019-08-22,-0.9083677956305772,0.13722307485178906,0.8627769251482116
2019-08-23,-3.7977309190190467,0.1290659375792661,0.8709340624207345
2019-08-26,-1.3269253789711741,0.03710292115097919,0.9628970788490214
2019-08-27,1.573510164649258,0.013249286824147843,0.9867507131758527
2019-08-28,1.0209415073873251,0.009286421816885323,0.9907135781831151
2019-08-29,3.6346628482662813,0.019772101259818597,0.9802278987401817
2019-08-30,0.0,0.006758790239667182,0.9932412097603331
2019-09-02,-0.7880411063909925,0.005091718507336838,0.9949082814926635
2019-09-03,1.179072172449584,0.005095100864915779,0.9949048991350845
2019-09-04,2.5457756203677286,0.007772141391094183,0.9922278586089062
2019-09-05,0.4933757758784299,0.00438089349608658,0.9956191065039138
2019-09-06,0.4909535252247614,0.003909127768014821,0.9960908722319857
2019-09-09,1.5353482775101597,0.00457822560388086,0.9954217743961197
2019-09-10,0.6287043045012208,0.0039994813221403795,0.9960005186778602
2019-09-11,-0.852829191004356,0.004652986375695023,0.9953470136243054
2019-09-12,0.7052539772079727,0.0052691872848538565,0.9947308127151465
2019-09-13,-0.6680785407696717,0.011457278112285498,0.9885427218877149
2019-09-16,4.297340248352404,0.04074896143587502,0.9592510385641253
2019-09-17,-1.3273874944060897,0.015474099989837294,0.9845259000101632
2019-09-18,-1.7128755823141562,0.009519498356352473,0.990480501643648
2019-09-19,0.25786241409410204,0.004920077752379969,0.9950799222476203
2019-09-20,-1.0686330167062614,0.005214559506141097,0.9947854404938592
2019-09-23,1.7618091044440403,0.005381374063549325,0.994618625936451
2019-09-24,-0.7676856227219991,0.004533269276787314,0.9954667307232131
2019-09-25,0.2573906565034039,0.0038514152988078096,0.9961485847011925
2019-09-26,1.3082064100374808,0.004239453740231833,0.9957605462597685
2019-09-27,-0.14562112461228663,0.0038949449991050383,0.9961050550008953
2019-09-30,-0.3981160292484934,0.004271211143986723,0.9957287888560136
2019-10-01,-0.14516333421346908,0.0058900303772723515,0.9941099696227279
2019-10-02,-2.913598426301501,0.015518517652171087,0.9844814823478292
2019-10-03,0.07475383139266814,0.005995720379082392,0.9940042796209176
2019-10-04,-0.8643610612464224,0.005143250259458728,0.9948567497405414
2019-10-07,-1.2896485113881422,0.005556515007524939,0.9944434849924753
2019-10-08,-0.5756171415277267,0.0046888174625329,0.9953111825374672
2019-10-09,1.9029458524170997,0.005548434762006923,0.9944515652379934
2019-10-10,0.8266808617452142,0.004422153252086975,0.9955778467479133
2019-10-11,1.9255043253807387,0.005437110256193568,0.9945628897438069
2019-10-14,0.18434581414720713,0.003985987814987942,0.9960140121850124
2019-10-15,1.0553161277550354,0.004087081940865654,0.9959129180591347
2019-10-16,1.188717590851076,0.004299630155413773,0.9957003698445867
2019-10-17,-0.9717598997632649,0.00465428905463767,0.9953457109453627
2019-10-18,-0.21695769108780993,0.00412119292412301,0.9958788070758773
2019-10-21,0.6147356342545471,0.004916551515770802,0.9950834484842296
2019-10-22,2.839932565124125,0.010364801525298693,0.9896351984747018
2019-10-23,1.3212858652395782,0.0077279923088555144,0.9922720076911448
2019-10-24,-2.200588093380742,0.013596601665763373,0.9864033983342371
2019-10-25,3.2317630635533203,0.016454458116745334,0.983545541883255
2019-10-28,1.1895563577061439,0.006577539383545336,0.993422460616455
2019-10-29,0.7398164497783777,0.004274927996284048,0.9957250720037163
2019-10-30,0.8684753986973942,0.003945770874591158,0.9960542291254092
2019-10-31,1.0255097736074785,0.003992733382081058,0.9960072666179193
2019-11-01,0.1314149956885067,0.0039648938430604476,0.9960351061569399
2019-11-04,-0.23008970044032748,0.005378305115896576,0.9946216948841037
2019-11-05,-2.366505560154594,0.012689193429735974,0.9873108065702644
2019-11-06,0.20197102662628322,0.012621649701205762,0.9873783502987945
2019-11-07,3.92706631141347,0.03994104270863544,0.9600589572913649
2019-11-08,-2.888851005756223,0.032043808000082975,0.9679561919999174
2019-11-11,1.422051720713406,0.010528226362906068,0.9894717736370942
2019-11-12,-0.7597862822395035,0.00581346036682435,0.9941865396331758
2019-11-13,-0.4009532281638777,0.005130105747938113,0.9948698942520621
2019-11-14,-2.0269050181200843,0.008422910062532032,0.9915770899374681
2019-11-18,-0.7538887760171622,0.006125059419972184,0.993874940580028
2019-11-19,-1.0374923745656053,0.008521478635310324,0.9914785213646898
2019-11-21,3.6510333144826546,0.019696320980868955,0.9803036790191313
2019-11-22,0.4347335527725286,0.00684274902464845,0.9931572509753518
