quarter_end,z_earnings_yield,z_ev_ebitda,z_pb_ratio,z_dividend_yield,z_roic,z_roe,z_ebitda_margin,z_evs,z_beta,z_volatility,z_debt_to_equity,score_valor,score_qualidade,score_risco,qval_raw,qval_scaled,recommendation
2009-12-31,,,,,,,,,,,,,,,,,INSUFICIENTE
2010-03-31,,,,,,,,,,,,,,,,,INSUFICIENTE
2010-06-30,-1.1183528862823553,-3.7988229064333763,,,,,,,,,,-2.458587896357866,,,-2.458587896357866,25.414121036421342,VENDA
2010-09-30,-0.7592536592286733,-2.1734662253126187,,,,,,,,,,-1.466359942270646,,,-1.466359942270646,35.33640057729354,VENDA
2010-12-31,1.6351079327283617,1.0084889922320852,,,,,,,,,,1.3217984624802235,,,1.3217984624802235,63.217984624802234,COMPRA
2011-03-31,-0.08242952272510896,0.5581404323210921,0.689612135412311,,,-1.3439498179055807,,,,,0.5539501726894402,0.3884410150027648,-1.3439498179055807,0.5539501726894402,-0.13385287673779186,48.661471232622084,NEUTRO
2011-06-30,-0.9772841465001979,-0.9163259624198987,0.790086122258769,,,-1.2631344064376189,,,,,0.5715432994868791,-0.36784132888710924,-1.2631344064376189,0.5715432994868791,-0.353144145279283,46.46855854720717,NEUTRO
2011-09-30,-1.638687349757779,-0.22666069006094644,0.8720526487820862,,,-1.1384720971618005,,,,,0.04286142934170526,-0.33109846367887974,-1.1384720971618005,0.04286142934170526,-0.4755697104996583,45.244302895003415,NEUTRO
2011-12-31,2.216840789848123,1.09466945815608,0.6269004700275019,,,0.2644751873900071,,,,,-0.21890572278117912,1.312803572677235,0.2644751873900071,-0.21890572278117912,0.45279101242868763,54.527910124286876,NEUTRO
2012-03-31,0.02009651183250361,0.7107625961462815,0.4918066710023963,,,-0.46631970465795286,,,,,-0.3905301234480692,0.4075552596603938,-0.46631970465795286,-0.3905301234480692,-0.14976485614854276,48.50235143851457,NEUTRO
2012-06-30,-1.9678083875572223,4.452144437418139,0.7190899048475194,,,-1.2656812379919975,,,,,-0.9161587656564327,1.0678086515694785,-1.2656812379919975,-0.9161587656564327,-0.37134378402631724,46.286562159736825,NEUTRO
2012-09-30,0.05859562414696281,-0.01911782088886961,0.4515674901613978,,,-0.3445667274313168,,,,,-0.9778192999189577,0.16368176447316365,-0.3445667274313168,-0.9778192999189577,-0.38623475429237025,46.1376524570763,NEUTRO
2012-12-31,0.874676241126255,0.31053209769295487,0.5870655207103952,,,-0.006573832505948331,,,,,-1.2254099709057145,0.590757953176535,-0.006573832505948331,-1.2254099709057145,-0.21374195007837593,47.86258049921624,NEUTRO
2013-03-31,0.1574621838064429,0.20586906527534365,0.5936881662028944,,,-0.322690020734535,,,,,-1.2703896794038463,0.31900647176156033,-0.322690020734535,-1.2703896794038463,-0.424691076125607,45.75308923874393,NEUTRO
2013-06-30,-0.9218009980396449,0.025438705443321594,0.7008150055784652,,,-0.7709434194810394,,,,,-2.971527636582183,-0.06518242900595268,-0.7709434194810394,-2.971527636582183,-1.2692178283563917,37.30782171643608,VENDA
2013-09-30,-0.8341633819429094,-1.5420247243673177,0.531561132338888,,,-0.7199660454466611,,,,,-2.111808968365676,-0.6148756579904464,-0.7199660454466611,-2.111808968365676,-1.1488835572675946,38.511164427324054,VENDA
2013-12-31,1.6627313980357388,0.42996514846741474,0.609104993884826,,,0.3349755240829996,,,,,-2.041348421351504,0.9006005134626598,0.3349755240829996,-2.041348421351504,-0.2685907946019482,47.31409205398052,NEUTRO
2014-03-31,0.05213863853357593,0.2843167386317015,0.6838931433399381,,,-0.34730393677912047,,,,,-2.488155664790673,0.34011617350173856,-0.34730393677912047,-2.488155664790673,-0.8317811426893517,41.68218857310649,NEUTRO
2014-06-30,-0.720033484873175,0.07023570067397195,0.5862405676638637,,,-0.6489250300558432,,,,,-1.8933845398985238,-0.02118573884511314,-0.6489250300558432,-1.8933845398985238,-0.8544984362664935,41.455015637335066,NEUTRO
2014-09-30,-1.8369863417094692,1.1740563374233055,0.44238857009990573,,,-1.1735464318481794,,,,,-2.393532454618132,-0.0735138113954193,-1.1735464318481794,-2.393532454618132,-1.2135308992872436,37.86469100712756,VENDA
2014-12-31,-3.480546634628765,0.7525000421519846,0.9246202798381418,,,-1.430364300400554,,,,,-2.8841277644107968,-0.6011421042128796,-1.430364300400554,-2.8841277644107968,-1.6385447230080767,33.61455276991923,VENDA
2015-03-31,0.429041689831474,0.3332942273765776,0.8884557772594216,,,-0.17101281536212523,,,,,-3.1418953025994796,0.5502638981558244,-0.17101281536212523,-3.1418953025994796,-0.9208814066019269,40.79118593398073,NEUTRO
2015-06-30,-0.7378724544067696,-0.12501533964086417,0.6213174257082315,,,-0.6373384742617024,,,,,-2.5854292743362324,-0.08052345611313412,-0.6373384742617024,-2.5854292743362324,-1.1010970682370231,38.98902931762977,VENDA
2015-09-30,-1.5463818284533235,0.15515808040372203,1.003359691572329,,,-0.7723590994446099,,,,,-3.523364900179855,-0.12928801882575747,-0.7723590994446099,-3.523364900179855,-1.4750040061500742,35.24995993849926,VENDA
2015-12-31,-7.019453129656243,0.6666683017436449,0.9292999772139201,,,-2.5044834772295954,,,,,-3.1684865005554035,-1.807828283566226,-2.5044834772295954,-3.1684865005554035,-2.4935994204504084,25.064005795495916,VENDA
2016-03-31,0.006794523570052928,0.3300735721801814,0.7564856879332376,,,-0.2551333557954432,,,,,-2.0368964486930508,0.36445126122782395,-0.2551333557954432,-2.0368964486930508,-0.64252618108689,43.5747381891311,NEUTRO
2016-06-30,0.13416248470981,0.20310242247243618,0.6585647589143647,,,-0.17068148825364132,,,,,-1.298911049079608,0.3319432220322036,-0.17068148825364132,-1.298911049079608,-0.37921643843368197,46.20783561566318,NEUTRO
